DATE ,US 2Y BOND,US 5Y BOND,US 10Y Bond
01-01-2001,5.104,4.979,5.114
02-01-2001,4.862,4.754,4.915
03-01-2001,4.929,4.96,5.158
04-01-2001,4.787,4.835,5.039
05-01-2001,4.569,4.656,4.931
08-01-2001,4.56,4.666,4.956
09-01-2001,4.659,4.733,5
10-01-2001,4.775,4.832,5.104
11-01-2001,4.733,4.799,5.11
12-01-2001,4.891,4.952,5.25
15-01-2001,4.891,4.9461,5.242
16-01-2001,4.881,4.929,5.23
17-01-2001,4.822,4.85,5.175
18-01-2001,4.72,4.735,5.114
19-01-2001,4.735,4.805,5.168
22-01-2001,4.743,4.848,5.225
23-01-2001,4.828,4.938,5.281
24-01-2001,4.844,4.948,5.305
25-01-2001,4.762,4.886,5.245
26-01-2001,4.771,4.914,5.268
29-01-2001,4.762,4.953,5.303
30-01-2001,4.696,4.899,5.229
31-01-2001,4.572,4.768,5.114
01-02-2001,4.555,4.75,5.086
02-02-2001,4.637,4.838,5.148
05-02-2001,4.67,4.86,5.167
06-02-2001,4.687,4.87,5.183
07-02-2001,4.72,4.913,5.187
08-02-2001,4.712,4.887,5.089
09-02-2001,4.636,4.824,5.03
12-02-2001,4.661,4.838,5.046
13-02-2001,4.719,4.874,5.07
14-02-2001,4.855,5.013,5.164
15-02-2001,4.838,5.005,5.166
16-02-2001,4.719,4.897,5.109
19-02-2001,4.702,4.897,5.097
20-02-2001,4.727,4.915,5.105
21-02-2001,4.693,4.922,5.139
22-02-2001,4.596,4.9,5.156
23-02-2001,4.53,4.84,5.097
26-02-2001,4.448,4.766,5.034
27-02-2001,4.439,4.707,4.952
28-02-2001,4.39,4.656,4.896
01-03-2001,4.406,4.648,4.874
02-03-2001,4.463,4.719,4.947
05-03-2001,4.479,4.744,4.976
06-03-2001,4.47,4.736,4.971
07-03-2001,4.404,4.663,4.899
08-03-2001,4.403,4.666,4.889
09-03-2001,4.469,4.708,4.929
12-03-2001,4.402,4.653,4.891
13-03-2001,4.435,4.685,4.929
14-03-2001,4.275,4.549,4.818
15-03-2001,4.216,4.498,4.786
16-03-2001,4.24,4.492,4.77
19-03-2001,4.298,4.539,4.813
20-03-2001,4.205,4.451,4.758
21-03-2001,4.213,4.457,4.778
22-03-2001,4.145,4.446,4.756
23-03-2001,4.261,4.502,4.815
26-03-2001,4.269,4.535,4.869
27-03-2001,4.413,4.696,5.011
28-03-2001,4.345,4.644,4.975
29-03-2001,4.271,4.651,4.997
30-03-2001,4.18,4.557,4.917
02-04-2001,4.213,4.604,4.977
03-04-2001,4.122,4.53,4.929
04-04-2001,4.097,4.503,4.914
05-04-2001,4.171,4.565,4.973
06-04-2001,4.079,4.475,4.89
09-04-2001,4.087,4.504,4.932
10-04-2001,4.212,4.637,5.083
11-04-2001,4.27,4.692,5.119
12-04-2001,4.354,4.768,5.169
13-04-2001,4.346,4.76,5.163
16-04-2001,4.439,4.854,5.254
17-04-2001,4.431,4.839,5.225
18-04-2001,4.245,4.711,5.146
19-04-2001,4.312,4.834,5.294
20-04-2001,4.236,4.81,5.288
23-04-2001,4.126,4.682,5.177
24-04-2001,4.134,4.707,5.209
25-04-2001,4.21,4.782,5.256
26-04-2001,4.144,4.714,5.192
27-04-2001,4.259,4.856,5.328
30-04-2001,4.276,4.886,5.338
01-05-2001,4.227,4.855,5.292
02-05-2001,4.252,4.874,5.288
03-05-2001,4.219,4.797,5.205
04-05-2001,4.145,4.758,5.205
07-05-2001,4.095,4.735,5.197
08-05-2001,4.112,4.746,5.245
09-05-2001,4.07,4.655,5.174
10-05-2001,4.162,4.783,5.295
11-05-2001,4.314,4.933,5.447
14-05-2001,4.272,4.926,5.42
15-05-2001,4.239,4.966,5.512
16-05-2001,4.231,4.941,5.445
17-05-2001,4.324,4.977,5.407
18-05-2001,4.359,4.999,5.405
21-05-2001,4.342,4.981,5.374
22-05-2001,4.326,4.985,5.41
23-05-2001,4.249,4.952,5.401
24-05-2001,4.301,5.032,5.491
25-05-2001,4.268,5.022,5.511
28-05-2001,4.268,5.027,5.494
29-05-2001,4.312,5.051,5.515
30-05-2001,4.303,5.04,5.509
31-05-2001,4.188,4.914,5.381
01-06-2001,4.213,4.939,5.364
04-06-2001,4.179,4.921,5.341
05-06-2001,4.105,4.827,5.269
06-06-2001,4.113,4.82,5.255
07-06-2001,4.121,4.871,5.324
08-06-2001,4.153,4.915,5.356
11-06-2001,4.087,4.842,5.284
12-06-2001,4.061,4.799,5.253
13-06-2001,4.044,4.784,5.263
14-06-2001,4.002,4.727,5.221
15-06-2001,3.976,4.705,5.232
18-06-2001,3.967,4.709,5.251
19-06-2001,3.958,4.702,5.236
20-06-2001,3.949,4.684,5.205
21-06-2001,3.957,4.658,5.172
22-06-2001,3.897,4.597,5.115
25-06-2001,3.922,4.611,5.13
26-06-2001,4.006,4.713,5.224
27-06-2001,4.108,4.789,5.235
28-06-2001,4.209,4.899,5.334
29-06-2001,4.242,4.95,5.412
02-07-2001,4.168,4.826,5.322
03-07-2001,4.235,4.877,5.38
04-07-2001,4.236,4.866,5.378
05-07-2001,4.237,4.881,5.391
06-07-2001,4.12,4.83,5.359
09-07-2001,4.112,4.804,5.327
10-07-2001,4.003,4.753,5.274
11-07-2001,4.054,4.786,5.289
12-07-2001,4.037,4.746,5.234
13-07-2001,4.071,4.753,5.217
16-07-2001,4.038,4.706,5.173
17-07-2001,4.08,4.75,5.204
18-07-2001,3.92,4.622,5.091
19-07-2001,3.946,4.64,5.106
20-07-2001,3.946,4.658,5.129
23-07-2001,3.937,4.636,5.104
24-07-2001,3.937,4.636,5.11
25-07-2001,3.98,4.706,5.182
26-07-2001,3.912,4.629,5.129
27-07-2001,3.863,4.589,5.098
30-07-2001,3.846,4.559,5.066
31-07-2001,3.797,4.526,5.054
01-08-2001,3.813,4.556,5.071
02-08-2001,3.895,4.644,5.151
03-08-2001,3.895,4.662,5.157
06-08-2001,3.862,4.647,5.153
07-08-2001,3.87,4.651,5.168
08-08-2001,3.73,4.526,5.05
09-08-2001,3.729,4.574,5.034
10-08-2001,3.687,4.526,4.98
13-08-2001,3.67,4.504,4.976
14-08-2001,3.72,4.515,4.966
15-08-2001,3.786,4.57,5
16-08-2001,3.719,4.514,4.94
17-08-2001,3.643,4.419,4.839
20-08-2001,3.718,4.477,4.902
21-08-2001,3.676,4.418,4.864
22-08-2001,3.726,4.47,4.894
23-08-2001,3.692,4.444,4.88
24-08-2001,3.768,4.481,4.922
27-08-2001,3.734,4.488,4.924
28-08-2001,3.666,4.403,4.836
29-08-2001,3.631,4.351,4.771
30-08-2001,3.596,4.381,4.812
31-08-2001,3.629,4.38,4.832
03-09-2001,3.629,4.365,4.826
04-09-2001,3.794,4.528,4.959
05-09-2001,3.769,4.521,4.967
06-09-2001,3.637,4.413,4.873
07-09-2001,3.505,4.302,4.79
10-09-2001,3.504,4.32,4.835
11-09-2001,3.517,4.219,4.809
13-09-2001,2.984,3.953,4.623
14-09-2001,2.866,3.814,4.553
17-09-2001,2.939,3.908,4.623
18-09-2001,2.947,3.896,4.707
19-09-2001,2.814,3.816,4.691
20-09-2001,2.879,3.841,4.742
21-09-2001,2.867,3.825,4.691
24-09-2001,2.908,3.869,4.716
25-09-2001,2.848,3.843,4.7
26-09-2001,2.806,3.773,4.628
27-09-2001,2.762,3.726,4.548
28-09-2001,2.851,3.804,4.588
01-10-2001,2.803,3.767,4.54
02-10-2001,2.746,3.723,4.501
03-10-2001,2.746,3.712,4.468
04-10-2001,2.738,3.733,4.506
05-10-2001,2.721,3.72,4.504
08-10-2001,2.697,3.727,4.506
09-10-2001,2.729,3.8,4.593
10-10-2001,2.754,3.818,4.597
11-10-2001,2.836,3.888,4.666
12-10-2001,2.803,3.876,4.669
15-10-2001,2.754,3.802,4.599
16-10-2001,2.737,3.764,4.559
17-10-2001,2.762,3.786,4.567
18-10-2001,2.745,3.782,4.577
19-10-2001,2.754,3.817,4.621
22-10-2001,2.779,3.847,4.633
23-10-2001,2.77,3.854,4.643
24-10-2001,2.695,3.798,4.596
25-10-2001,2.649,3.757,4.551
26-10-2001,2.625,3.737,4.529
29-10-2001,2.56,3.67,4.48
30-10-2001,2.448,3.585,4.41
31-10-2001,2.423,3.475,4.232
01-11-2001,2.487,3.525,4.24
02-11-2001,2.486,3.608,4.358
05-11-2001,2.445,3.556,4.296
06-11-2001,2.332,3.501,4.256
07-11-2001,2.299,3.464,4.178
08-11-2001,2.404,3.581,4.286
09-11-2001,2.426,3.622,4.303
12-11-2001,2.409,3.619,4.303
13-11-2001,2.515,3.692,4.378
14-11-2001,2.713,3.862,4.539
15-11-2001,2.969,4.102,4.762
16-11-2001,3.012,4.206,4.843
19-11-2001,2.912,4.146,4.798
20-11-2001,2.945,4.185,4.863
21-11-2001,3.072,4.315,5.013
22-11-2001,3.081,4.313,4.966
23-11-2001,3.15,4.356,4.987
26-11-2001,3.183,4.403,5.015
27-11-2001,3.023,4.285,4.919
28-11-2001,3.057,4.289,4.925
29-11-2001,2.866,4.092,4.756
30-11-2001,2.841,4.064,4.752
03-12-2001,2.776,3.986,4.687
04-12-2001,2.8,3.972,4.66
05-12-2001,3.061,4.23,4.893
06-12-2001,3.168,4.364,5.013
07-12-2001,3.201,4.482,5.167
10-12-2001,3.053,4.391,5.098
11-12-2001,2.971,4.297,5.051
12-12-2001,2.971,4.287,5.005
13-12-2001,3.037,4.356,5.073
14-12-2001,3.153,4.489,5.188
17-12-2001,3.137,4.475,5.186
18-12-2001,3.087,4.421,5.121
19-12-2001,3.07,4.37,5.047
20-12-2001,3.07,4.359,5.03
21-12-2001,3.129,4.419,5.084
24-12-2001,3.155,4.457,5.136
25-12-2001,3.147,4.457,5.136
26-12-2001,3.231,4.535,5.199
27-12-2001,3.071,4.392,5.065
28-12-2001,3.157,4.422,5.113
31-12-2001,3.026,4.302,5.051
